ID,adj.P.Val,logFC,GI,Gene.symbol,Gene.title
ILMN_1712959,2.70e-04,-0.62617827,187608704,DUSP2,dual specificity phosphatase 2
ILMN_3205404,2.71e-04,0.17949977,NA,,
ILMN_1799134,2.73e-04,0.70054563,167614494,KLRD1,killer cell lectin like receptor D1
ILMN_1728984,2.73e-04,0.32476339,124494253,PA2G4,proliferation-associated 2G4
ILMN_3243042,2.73e-04,-0.23298996,NA,,
ILMN_1656938,2.73e-04,0.41512606,NA,,
ILMN_1701244,2.73e-04,-0.22526038,271397436,ITFG2,integrin alpha FG-GAP repeat containing 2
ILMN_1674302,2.73e-04,0.19194474,325296911,PPAT,phosphoribosyl pyrophosphate amidotransferase
ILMN_1737005,2.74e-04,0.21547997,1043631280,SMG9,SMG9, nonsense mediated mRNA decay factor
ILMN_1668743,2.76e-04,-0.39153099,NA,,
ILMN_3234226,2.76e-04,-0.26510682,157278105,N4BP2L2,NEDD4 binding protein 2 like 2
ILMN_1893033,2.78e-04,-0.27501789,9970555,,
ILMN_3238369,2.78e-04,-0.37363301,90093354,KDM7A,lysine demethylase 7A
ILMN_1705594,2.79e-04,0.30667004,221316722,NAT10,N-acetyltransferase 10
ILMN_3190972,2.80e-04,0.23017318,NA,,
ILMN_1716105,2.81e-04,0.63538106,459683879,NLRP12,NLR family pyrin domain containing 12
ILMN_1659543,2.81e-04,-0.20410711,106879203,EXOC3L1,exocyst complex component 3 like 1
ILMN_3226244,2.81e-04,0.48482052,NA,,
ILMN_1815734,2.82e-04,-0.34138546,182765465,FCHSD2,FCH and double SH3 domains 2
ILMN_2366246,2.82e-04,0.26910664,114520590,SEC23B,Sec23 homolog B, coat complex II component
ILMN_1801105,2.82e-04,0.51643611,47157323,PRKCD,protein kinase C delta
ILMN_1773247,2.82e-04,-0.38428639,339275840,ZNF410,zinc finger protein 410
ILMN_2224290,2.83e-04,0.19318643,NA,,
ILMN_1698213,2.83e-04,-0.5890479,338797748,RBM3,RNA binding motif (RNP1, RRM) protein 3
ILMN_2083334,2.83e-04,0.21660868,NA,,
ILMN_2208802,2.83e-04,-0.48168446,148596993,NPIPA1,nuclear pore complex interacting protein family member A1
ILMN_1754871,2.84e-04,-0.1758039,NA,,
ILMN_1801905,2.85e-04,-0.2740507,528078304,ATG4D,autophagy related 4D cysteine peptidase
ILMN_1701487,2.85e-04,0.23755767,354721192,TAOK2,TAO kinase 2
ILMN_1660730,2.85e-04,-0.31228829,296841061,SLC7A3,solute carrier family 7 member 3
ILMN_2287888,2.85e-04,0.3539329,394953925,PSMC4,proteasome 26S subunit, ATPase 4
ILMN_2121068,2.86e-04,-0.62785695,998072729,ADAM17,ADAM metallopeptidase domain 17
ILMN_1741869,2.88e-04,-0.20057039,216548346,WDR47,WD repeat domain 47
ILMN_1774997,2.88e-04,-0.21390936,323362951,BCL2L11,BCL2 like 11
ILMN_3245630,2.88e-04,-0.22896037,657173775,ECSCR,endothelial cell surface expressed chemotaxis and apoptosis regulator
ILMN_1770987,2.88e-04,-0.16690298,537361019,SLC8A3,solute carrier family 8 member A3
ILMN_3251440,2.90e-04,-0.32076448,1008909361,PIK3C2A,phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha
ILMN_2392717,2.90e-04,-0.28784888,388490150,LARP7,La ribonucleoprotein domain family member 7
ILMN_1761068,2.90e-04,-0.34053214,NA,,
ILMN_1815885,2.90e-04,0.20297981,138175846,ZNF112,zinc finger protein 112
ILMN_2399497,2.91e-04,0.19246986,523498350,RFXANK,regulatory factor X associated ankyrin containing protein
ILMN_2100000,2.92e-04,-0.32648527,167830432,DHX36,DEAH-box helicase 36
ILMN_1750029,2.93e-04,-0.28780115,163644305,GABPA,GA binding protein transcription factor alpha subunit
ILMN_3244110,2.94e-04,-0.33823557,1007381120,FAM156B,family with sequence similarity 156 member B
ILMN_2325234,2.94e-04,0.254627,74027252,PQBP1,polyglutamine binding protein 1
ILMN_2290998,2.94e-04,0.25592854,4826664,CCS,copper chaperone for superoxide dismutase
ILMN_1838885,2.95e-04,-0.21671424,93204864,EPG5,ectopic P-granules autophagy protein 5 homolog
ILMN_1681837,2.95e-04,0.28291371,296011005,POLR3A,RNA polymerase III subunit A
ILMN_1722953,2.95e-04,0.2203482,71774196,USP47,ubiquitin specific peptidase 47
ILMN_1802808,2.96e-04,-0.48072478,NA,,
ILMN_1658773,2.97e-04,0.19736684,110224466,PIGF,phosphatidylinositol glycan anchor biosynthesis class F
ILMN_1789186,2.97e-04,0.33822082,194394164,OBFC1,oligonucleotide/oligosaccharide binding fold containing 1
ILMN_1701641,2.97e-04,0.23556046,NA,,
ILMN_1897230,2.98e-04,-0.2152667,3213982,,
ILMN_1795344,2.98e-04,0.22706561,815890942,GOLIM4,golgi integral membrane protein 4
ILMN_2401701,2.98e-04,0.20482786,37655164,PCGF6,polycomb group ring finger 6
ILMN_1750596,2.98e-04,0.29187754,393715077,CLUAP1,clusterin associated protein 1
ILMN_3222586,2.99e-04,-0.15204737,NA,,
ILMN_2385191,2.99e-04,-0.28900768,1002095792,QRICH1,glutamine rich 1
ILMN_1687080,2.99e-04,-0.40757989,NA,,
ILMN_2353327,2.99e-04,-0.25738989,89903027,RNF38,ring finger protein 38
ILMN_2227195,3.00e-04,0.25516948,224586874,CCDC65,coiled-coil domain containing 65
ILMN_2243912,3.01e-04,0.34403768,255683301,RAB37,RAB37, member RAS oncogene family
ILMN_1740216,3.01e-04,-0.25546609,4557562,ERCC3,ERCC excision repair 3, TFIIH core complex helicase subunit
ILMN_2382354,3.01e-04,-0.36065071,544346142,SENP7,SUMO1/sentrin specific peptidase 7
ILMN_3282835,3.02e-04,-0.17042144,NA,,
ILMN_3291472,3.02e-04,0.35248167,NA,,
ILMN_1773868,3.06e-04,0.51666798,132626841,ZRSR2,zinc finger CCCH-type, RNA binding motif and serine/arginine rich 2
ILMN_2043173,3.06e-04,0.17878104,16507949,TEKT2,tektin 2
ILMN_1762046,3.06e-04,-0.27409009,400153446,ZNF551,zinc finger protein 551
ILMN_1656287,3.06e-04,-0.43304198,197313712,SPOCK2,sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 2
ILMN_2386205,3.07e-04,0.20526507,999809126,C21orf33,chromosome 21 open reading frame 33
ILMN_2389935,3.10e-04,-0.23691423,240849506,FYTTD1,forty-two-three domain containing 1
ILMN_2313074,3.10e-04,-0.3105642,89353286,DEDD,death effector domain containing
ILMN_2406410,3.11e-04,-0.40551541,94818789,RHBDD2,rhomboid domain containing 2
ILMN_1772814,3.11e-04,0.23638431,149408125,NLK,nemo like kinase
ILMN_1810334,3.12e-04,0.2944751,151101366,COMMD7,COMM domain containing 7
ILMN_2198376,3.12e-04,0.3917582,156713440,PSMA4,proteasome subunit alpha 4
ILMN_2355033,3.12e-04,-0.40952978,122937184,KIAA1147,KIAA1147
ILMN_1801156,3.12e-04,-0.39241185,157671948,RLF,rearranged L-myc fusion
ILMN_1674640,3.12e-04,0.31251736,5730105,CXCR6,C-X-C motif chemokine receptor 6
ILMN_1809439,3.12e-04,0.34640097,NA,,
ILMN_1787324,3.12e-04,0.27437224,14149804,ENKD1,enkurin domain containing 1
ILMN_1796595,3.12e-04,-0.17858025,170763485,C5orf22,chromosome 5 open reading frame 22
ILMN_2333367,3.14e-04,-0.57779813,315139018,FKBP1A,FK506 binding protein 1A
ILMN_1746408,3.15e-04,-0.4882062,58761507,MIDN,midnolin
ILMN_3202396,3.16e-04,-0.34154317,NA,,
ILMN_2326273,3.19e-04,0.38079927,68533254,CHI3L2,chitinase 3 like 2
ILMN_1663220,3.20e-04,0.2973038,169636429,MRPL22,mitochondrial ribosomal protein L22
ILMN_2045729,3.20e-04,0.19970043,217330643,WDR12,WD repeat domain 12
ILMN_2151441,3.20e-04,0.25225012,359338972,FAM103A1,family with sequence similarity 103 member A1
ILMN_2368728,3.22e-04,-0.17034145,378925618,ASIC3,acid sensing ion channel subunit 3
ILMN_2346997,3.25e-04,0.23256825,523425711,RAB23,RAB23, member RAS oncogene family
ILMN_1803136,3.25e-04,0.26020627,321400136,RAB4B,RAB4B, member RAS oncogene family
ILMN_1701962,3.25e-04,-0.26474566,NA,,
ILMN_1787026,3.25e-04,-0.19483128,60279264,SEC61G,Sec61 translocon gamma subunit
ILMN_1764495,3.25e-04,-0.2181356,NA,,
ILMN_1706967,3.25e-04,-0.19638221,194239641,ATF7,activating transcription factor 7
ILMN_1813573,3.27e-04,-0.30909071,210032579,SETD1B,SET domain containing 1B
ILMN_1776213,3.27e-04,-0.23854918,224589134,RGMB,repulsive guidance molecule family member b
ILMN_2140342,3.27e-04,-0.2525133,92091574,CCDC57,coiled-coil domain containing 57
ILMN_2196337,3.28e-04,0.20876488,155030184,ASUN,asunder, spermatogenesis regulator
ILMN_2410986,3.29e-04,-0.29344711,47080104,STAT3,signal transducer and activator of transcription 3
ILMN_1656504,3.29e-04,-0.15543124,594140531,ZNF304,zinc finger protein 304
ILMN_1798663,3.30e-04,-0.19383409,NA,,
ILMN_1680353,3.30e-04,0.29917282,339276049,NSF,N-ethylmaleimide sensitive factor, vesicle fusing ATPase
ILMN_2270802,3.30e-04,-0.14277678,425876791,KCNJ1,potassium voltage-gated channel subfamily J member 1
ILMN_1689234,3.30e-04,-0.16235199,NA,,
ILMN_1913060,3.31e-04,0.44837106,34532879,CMKLR1,chemerin chemokine-like receptor 1
ILMN_1651624,3.31e-04,-0.11889618,392871551,C6orf201,chromosome 6 open reading frame 201
ILMN_1682354,3.32e-04,0.23172618,22546014,SNORD33,small nucleolar RNA, C/D box 33
ILMN_1720267,3.33e-04,-0.15608159,38570110,TARSL2,threonyl-tRNA synthetase like 2
ILMN_1742001,3.33e-04,0.65333026,523498720,CD160,CD160 molecule
ILMN_1798014,3.33e-04,0.1814004,939320330,EIF2S2,eukaryotic translation initiation factor 2 subunit beta
ILMN_2094776,3.34e-04,-0.38202273,815890976,CCNL1,cyclin L1
ILMN_1693664,3.34e-04,0.28363381,210147551,POMGNT1,protein O-linked mannose N-acetylglucosaminyltransferase 1 (beta 1,2-)
ILMN_1659800,3.34e-04,-0.24237687,148539885,BCL11A,B-cell CLL/lymphoma 11A
ILMN_1655126,3.34e-04,-0.42482382,156231038,PI4KAP2,phosphatidylinositol 4-kinase alpha pseudogene 2
ILMN_1669103,3.35e-04,-0.26517128,95113663,LRRC1,leucine rich repeat containing 1
ILMN_1687567,3.35e-04,-0.19483762,321400108,CUX1,cut like homeobox 1
ILMN_1806015,3.35e-04,-0.50214042,NA,,
ILMN_1737935,3.35e-04,0.25381276,499591025,MACF1,microtubule-actin crosslinking factor 1
ILMN_3241692,3.36e-04,0.30346551,NA,,
ILMN_3307729,3.37e-04,0.57125828,953953847,CXXC5,CXXC finger protein 5
ILMN_1714352,3.37e-04,-0.36396203,62945416,DMWD,dystrophia myotonica, WD repeat containing
ILMN_1778755,3.38e-04,-0.15207435,116875827,TRIL,TLR4 interactor with leucine rich repeats
ILMN_2412822,3.38e-04,-0.16546808,93587339,SCN3B,sodium voltage-gated channel beta subunit 3
ILMN_1783022,3.39e-04,0.18925033,NA,,
ILMN_2230577,3.39e-04,-0.21647688,157412268,RABGEF1,RAB guanine nucleotide exchange factor 1
ILMN_2185884,3.40e-04,0.26948031,545478098,DHRS4,dehydrogenase/reductase 4
ILMN_2328280,3.40e-04,0.25123782,749502308,ACTL6A,actin like 6A
ILMN_3237241,3.42e-04,0.33241282,748585174,FAM32A,family with sequence similarity 32 member A
ILMN_1706645,3.42e-04,0.24623753,115511029,MB21D1,Mab-21 domain containing 1
ILMN_1653573,3.43e-04,0.2671236,NA,,
ILMN_1673753,3.43e-04,0.31703136,NA,,
ILMN_1735157,3.45e-04,-0.2389801,325651866,GALNT12,polypeptide N-acetylgalactosaminyltransferase 12
ILMN_2347693,3.45e-04,0.16260492,291490680,NCOA3,nuclear receptor coactivator 3
ILMN_1651405,3.46e-04,-0.27114053,237649103,BRD9,bromodomain containing 9
ILMN_1664577,3.46e-04,-0.28571191,576583529,DLD,dihydrolipoamide dehydrogenase
ILMN_1694890,3.46e-04,-0.19039452,NA,,
ILMN_1743204,3.47e-04,-0.5163608,153281157,DUSP8,dual specificity phosphatase 8
ILMN_1655612,3.47e-04,-0.48549947,18373304,ARRDC2,arrestin domain containing 2
ILMN_1658950,3.48e-04,0.24879616,NA,,
ILMN_3293694,3.49e-04,0.41198781,NA,,
ILMN_1719695,3.49e-04,-0.50016528,299890852,NFKBIZ,NFKB inhibitor zeta
ILMN_2098616,3.49e-04,0.41577344,208610034,ANXA2R,annexin A2 receptor
ILMN_1870671,3.50e-04,-0.2274213,679169,,
ILMN_1724718,3.50e-04,-0.48045995,297591813,NCK2,NCK adaptor protein 2
ILMN_1676058,3.51e-04,-0.22908778,987437818,MAGOHB,mago homolog B, exon junction complex core component
ILMN_1714622,3.51e-04,-0.55006145,116805347,TNRC6A,trinucleotide repeat containing 6A
ILMN_2320850,3.51e-04,-0.17611623,514825566,UBE2D3,ubiquitin conjugating enzyme E2 D3
ILMN_1778010,3.51e-04,0.47951318,61658639,IL32,interleukin 32
ILMN_1660356,3.51e-04,-0.14579904,17402883,PPP4R4,protein phosphatase 4 regulatory subunit 4
ILMN_1877455,3.53e-04,-0.23981647,6833935,,
ILMN_1717934,3.53e-04,0.60275108,295444798,SYT11,synaptotagmin 11
ILMN_3280735,3.54e-04,0.35058766,NA,,
ILMN_1709367,3.54e-04,-0.15561262,226246611,FAM186B,family with sequence similarity 186 member B
ILMN_1805225,3.55e-04,0.24424631,42542393,LPCAT3,lysophosphatidylcholine acyltransferase 3
ILMN_2405353,3.55e-04,-0.15843508,119220551,SDK1,sidekick cell adhesion molecule 1
ILMN_1769876,3.55e-04,0.42514446,222352142,TBC1D2,TBC1 domain family member 2
ILMN_1708249,3.56e-04,-0.20533322,439253842,NR1D1,nuclear receptor subfamily 1 group D member 1
ILMN_2347145,3.57e-04,-0.16434443,949474742,DCN,decorin
ILMN_2298936,3.57e-04,0.35669465,506949335,THOC3,THO complex 3
ILMN_1684585,3.58e-04,-0.92015146,557878734,ACSL1,acyl-CoA synthetase long-chain family member 1
ILMN_1726839,3.58e-04,0.25988796,262231819,DCUN1D5,defective in cullin neddylation 1 domain containing 5
ILMN_1716014,3.58e-04,0.31082272,NA,,
ILMN_1762957,3.58e-04,0.27751475,NA,,
ILMN_2068435,3.59e-04,-0.32152946,428981673,ZNF700,zinc finger protein 700
ILMN_1686968,3.59e-04,-0.24179243,38570114,ZNF362,zinc finger protein 362
ILMN_2403994,3.60e-04,0.34185346,345478706,RALY,RALY heterogeneous nuclear ribonucleoprotein
ILMN_1751941,3.60e-04,0.29537798,NA,,
ILMN_1766195,3.60e-04,-0.21860055,748585181,ZNF558,zinc finger protein 558
ILMN_1691340,3.60e-04,-0.43524283,55925645,CACYBP,calcyclin binding protein
ILMN_1754220,3.60e-04,-0.33295552,54112114,SF3A2,splicing factor 3a subunit 2
ILMN_1651346,3.61e-04,0.37918355,590122055,TICAM2,toll like receptor adaptor molecule 2
ILMN_1654586,3.61e-04,-0.34621846,1003088850,RASA3,RAS p21 protein activator 3
ILMN_1815812,3.62e-04,0.16996044,118344449,CDIP1,cell death inducing p53 target 1
ILMN_3240231,3.62e-04,-0.20487929,91680833,SNORA2C,small nucleolar RNA, H/ACA box 2C
ILMN_1696870,3.63e-04,0.46607124,567316083,TGFBRAP1,transforming growth factor beta receptor associated protein 1
ILMN_2324672,3.64e-04,-0.47728648,1007384328,USF2,upstream transcription factor 2, c-fos interacting
ILMN_2354381,3.64e-04,-0.30458469,66529293,PON2,paraoxonase 2
ILMN_2169839,3.64e-04,-0.32970914,187608720,CNBP,CCHC-type zinc finger nucleic acid binding protein
ILMN_1673933,3.65e-04,-0.54894001,NA,,
ILMN_2371964,3.65e-04,0.35259561,16950590,MRPS12,mitochondrial ribosomal protein S12
ILMN_1679587,3.66e-04,-0.36379996,NA,,
ILMN_1697081,3.66e-04,-0.14310054,124381136,GAL3ST3,galactose-3-O-sulfotransferase 3
ILMN_2393169,3.67e-04,0.25104638,50959109,THOC5,THO complex 5
ILMN_1684278,3.68e-04,-0.27144587,32526880,SNORD38A,small nucleolar RNA, C/D box 38A
ILMN_2359211,3.68e-04,-0.24695395,19913415,AP2A1,adaptor related protein complex 2 alpha 1 subunit
ILMN_1694603,3.69e-04,-0.38535841,188536046,SMARCC1,SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1
ILMN_1697919,3.70e-04,0.20534177,13699812,WHSC1L1,Wolf-Hirschhorn syndrome candidate 1-like 1
ILMN_3238006,3.70e-04,0.2954157,NA,,
ILMN_2400030,3.70e-04,0.25968599,333108232,PTPN2,protein tyrosine phosphatase, non-receptor type 2
ILMN_1654392,3.70e-04,-0.33280744,126723686,KHNYN,KH and NYN domain containing
ILMN_3202885,3.71e-04,0.20571246,NA,,
ILMN_1815570,3.72e-04,-0.32419283,334724446,HOXA6,homeobox A6
ILMN_2054233,3.73e-04,-0.33560129,755571536,SENP6,SUMO1/sentrin specific peptidase 6
ILMN_1836469,3.73e-04,-0.2346253,21758033,BRAF,B-Raf proto-oncogene, serine/threonine kinase
ILMN_1839051,3.73e-04,0.21568749,34529484,FER,FER tyrosine kinase
ILMN_2305599,3.73e-04,0.14346018,122056618,LDB3,LIM domain binding 3
ILMN_1769245,3.74e-04,0.72039586,110825979,GLIPR1,GLI pathogenesis related 1
ILMN_1898682,3.74e-04,-0.3293734,31873719,PHIP,pleckstrin homology domain interacting protein
ILMN_1680967,3.74e-04,0.23497431,222831567,SARNP,SAP domain containing ribonucleoprotein
ILMN_1749239,3.77e-04,-0.17781334,544186049,LRRFIP2,LRR binding FLII interacting protein 2
ILMN_1671678,3.77e-04,-0.26392728,NA,,
ILMN_1711493,3.77e-04,0.55544111,302318951,PRAM1,PML-RARA regulated adaptor molecule 1
ILMN_1710207,3.78e-04,0.32990418,150456435,SLF2,SMC5-SMC6 complex localization factor 2
ILMN_1772731,3.78e-04,0.46440366,94538321,HAGH,hydroxyacylglutathione hydrolase
ILMN_1700507,3.79e-04,-0.3131225,214010171,CLASP1,cytoplasmic linker associated protein 1
ILMN_1877778,3.81e-04,-0.31521625,78300341,,
ILMN_1777487,3.81e-04,-0.28679635,392513691,ZNF839,zinc finger protein 839
ILMN_3235718,3.81e-04,-0.3338004,221136789,GUSBP11,glucuronidase, beta pseudogene 11
ILMN_2212354,3.82e-04,0.26652953,256773175,WDR46,WD repeat domain 46
ILMN_1728360,3.82e-04,0.29043865,960513898,MED29,mediator complex subunit 29
ILMN_1661424,3.82e-04,0.19008973,960513883,THAP6,THAP domain containing 6
ILMN_1802157,3.82e-04,-0.35636765,154448889,THOC1,THO complex 1
ILMN_1758102,3.83e-04,-0.15450454,210031195,TMPPE,transmembrane protein with metallophosphoesterase domain
ILMN_1785785,3.83e-04,-0.28235068,59938783,NCOA1,nuclear receptor coactivator 1
ILMN_1700810,3.85e-04,-0.2254232,NA,,
ILMN_3236321,3.85e-04,-0.14711398,210147452,C2CD4C,C2 calcium dependent domain containing 4C
ILMN_3280847,3.86e-04,0.31307202,NA,,
ILMN_1811029,3.87e-04,-0.24198679,211971034,TLK1,tousled like kinase 1
ILMN_1754400,3.87e-04,0.32160836,NA,,
ILMN_1807525,3.87e-04,-0.20583391,242247024,CNTD2,cyclin N-terminal domain containing 2
ILMN_1901419,3.88e-04,0.33635097,50719910,RNU11,RNA, U11 small nuclear
ILMN_1674789,3.88e-04,0.24782606,NA,,
ILMN_3244070,3.88e-04,0.18473909,190341053,ABCC6P2,ATP binding cassette subfamily C member 6 pseudogene 2
ILMN_1806415,3.89e-04,0.15943297,239787895,TTLL1,tubulin tyrosine ligase like 1
ILMN_3240226,3.90e-04,-0.34512392,NA,,
ILMN_2234229,3.90e-04,0.27647413,227908866,PRMT6,protein arginine methyltransferase 6
ILMN_1753567,3.90e-04,-0.30562311,108796066,ZNF451,zinc finger protein 451
ILMN_1774066,3.90e-04,0.32997244,149363654,TMEM141,transmembrane protein 141
ILMN_2141790,3.90e-04,-0.3307737,597709816,HYOU1,hypoxia up-regulated 1
ILMN_1715771,3.90e-04,-0.19121868,336176090,PEAK1,pseudopodium enriched atypical kinase 1
ILMN_1796912,3.92e-04,-0.30507706,166064031,ARHGEF7,Rho guanine nucleotide exchange factor 7
ILMN_2384496,3.92e-04,0.19053927,297591821,ST6GAL1,ST6 beta-galactoside alpha-2,6-sialyltransferase 1
ILMN_3263290,3.92e-04,0.32138527,NA,,
ILMN_3307719,3.92e-04,0.21918074,209976987,ZNF490,zinc finger protein 490
ILMN_1741957,3.93e-04,0.28507974,292658841,RABEPK,Rab9 effector protein with kelch motifs
ILMN_1720438,3.93e-04,0.22207298,NA,,
ILMN_2184373,3.94e-04,-1.61678533,324073503,CXCL8,C-X-C motif chemokine ligand 8
ILMN_2203453,3.95e-04,0.19326584,384871700,MSH2,mutS homolog 2
ILMN_3286204,3.97e-04,-0.45825871,NA,,
ILMN_1681829,3.97e-04,0.154193,71480165,ZNF606,zinc finger protein 606
ILMN_2166506,3.98e-04,0.2551166,573014813,XRCC6,X-ray repair cross complementing 6
ILMN_1740917,3.98e-04,-0.168706,124301195,SCNN1B,sodium channel epithelial 1 beta subunit
ILMN_1781151,3.98e-04,-0.25385646,537361062,ARMC8,armadillo repeat containing 8
ILMN_1735058,3.99e-04,0.48400215,345090970,CHST12,carbohydrate (chondroitin 4) sulfotransferase 12
ILMN_1756860,4.00e-04,0.25340322,215422360,TXNL1,thioredoxin like 1
ILMN_1738346,4.00e-04,-0.22671437,292781267,MICU2,mitochondrial calcium uptake 2
ILMN_1780671,4.00e-04,0.52003158,NA,,
ILMN_1653200,4.01e-04,-0.34263701,573459762,SLC22A17,solute carrier family 22 member 17
ILMN_1741131,4.03e-04,0.28323966,41327725,CHRNB1,cholinergic receptor nicotinic beta 1 subunit
ILMN_1689786,4.04e-04,0.37941757,291045179,ASMTL,acetylserotonin O-methyltransferase-like
ILMN_1799069,4.05e-04,-0.76272727,NA,,
ILMN_3239610,4.05e-04,0.74609729,NA,,
ILMN_1807088,4.05e-04,0.18058994,113879454,TTC33,tetratricopeptide repeat domain 33
ILMN_3223181,4.06e-04,0.3298134,525507106,SEC13,SEC13 homolog, nuclear pore and COPII coat complex component
ILMN_2330243,4.06e-04,0.37234124,40288275,NUDT1,nudix hydrolase 1
ILMN_2104967,4.07e-04,0.21422692,194018514,ZNF443,zinc finger protein 443
ILMN_1672660,4.08e-04,0.38502871,68509937,MBP,myelin basic protein
ILMN_1749213,4.08e-04,0.41084604,56243532,SDF2L1,stromal cell derived factor 2 like 1
ILMN_1767848,4.09e-04,-0.40424507,157388994,PCMTD2,protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 2
ILMN_1709683,4.10e-04,-0.42599319,NA,,
ILMN_1677239,4.10e-04,-0.35879846,169646280,CCDC14,coiled-coil domain containing 14
ILMN_1715496,4.12e-04,-0.21981933,377520130,HTR2A,5-hydroxytryptamine receptor 2A
ILMN_1728230,4.13e-04,0.26938082,152963630,ZNF30,zinc finger protein 30
ILMN_1664323,4.13e-04,-0.27416634,222080052,MBIP,MAP3K12 binding inhibitory protein 1
ILMN_2104929,4.13e-04,0.21647221,948284444,FAM207A,family with sequence similarity 207 member A
ILMN_1771738,4.14e-04,0.2665728,82546834,ARL5A,ADP ribosylation factor like GTPase 5A
ILMN_3268472,4.16e-04,0.17455907,242247668,CCL14,C-C motif chemokine ligand 14
ILMN_1733412,4.17e-04,0.32087891,NA,,
ILMN_1749641,4.17e-04,-0.22088308,48928041,FBXO3,F-box protein 3
ILMN_1769207,4.18e-04,-0.40130853,319803087,KCTD7,potassium channel tetramerization domain containing 7
ILMN_1703379,4.18e-04,0.33666046,114199474,VPS41,VPS41, HOPS complex subunit
ILMN_2327947,4.18e-04,-0.19864386,394953809,SLC25A25,solute carrier family 25 member 25
ILMN_1708787,4.18e-04,-0.18643755,221219069,ZNF627,zinc finger protein 627
ILMN_1728047,4.19e-04,0.33682725,320202989,AKR1A1,aldo-keto reductase family 1 member A1
ILMN_1781999,4.19e-04,0.2329827,525345259,ABCF2,ATP binding cassette subfamily F member 2
ILMN_2353642,4.20e-04,-0.39231457,661567362,ATP6V0B,ATPase H+ transporting V0 subunit b
ILMN_1781001,4.20e-04,-0.32435279,528078360,SOCS3,suppressor of cytokine signaling 3
ILMN_1731598,4.21e-04,-0.15527964,313661400,DEFB118,defensin beta 118
ILMN_1654200,4.21e-04,0.24694117,221307606,RGPD3,RANBP2-like and GRIP domain containing 3
ILMN_1679428,4.22e-04,0.42501536,332205976,CHIC2,cysteine rich hydrophobic domain 2
ILMN_1716862,4.23e-04,-0.32826449,670357732,PPM1B,protein phosphatase, Mg2+/Mn2+ dependent 1B
ILMN_1815495,4.24e-04,-0.21569925,NA,,
ILMN_1765043,4.25e-04,-0.18229857,78214520,RPL38,ribosomal protein L38
ILMN_1683992,4.25e-04,0.17953755,223972625,OXSM,3-oxoacyl-ACP synthase, mitochondrial
ILMN_1661650,4.25e-04,0.26735442,544583516,PPP4R3B,protein phosphatase 4 regulatory subunit 3B
ILMN_2409596,4.26e-04,-0.32297362,289547525,RAB11FIP1,RAB11 family interacting protein 1
ILMN_1723536,4.26e-04,0.22822213,391738245,USP33,ubiquitin specific peptidase 33
ILMN_1761829,4.26e-04,-0.25842619,188497753,HK1,hexokinase 1
ILMN_3239520,4.26e-04,0.15742462,NA,,
ILMN_1696532,4.27e-04,0.30062247,300796302,RBBP5,RB binding protein 5, histone lysine methyltransferase complex subunit
ILMN_1774074,4.29e-04,0.42904799,393715092,RXRB,retinoid X receptor beta
ILMN_1671854,4.29e-04,-0.45479986,348041284,SEPT1,septin 1
ILMN_1704369,4.29e-04,0.17885017,165905587,LIMA1,LIM domain and actin binding 1
ILMN_1788024,4.29e-04,0.36188381,1002341827,PCID2,PCI domain containing 2
ILMN_2395856,4.29e-04,0.44223725,384871607,TMEM218,transmembrane protein 218
ILMN_1701375,4.30e-04,0.26571384,359751373,FBXW5,F-box and WD repeat domain containing 5
ILMN_1672717,4.31e-04,0.26192378,393185900,TMEM254,transmembrane protein 254
ILMN_1898311,4.32e-04,0.16219824,NA,,
ILMN_1659270,4.32e-04,-0.22957713,24497624,OTP,orthopedia homeobox
ILMN_3248487,4.32e-04,-0.18659959,NA,,
ILMN_1782611,4.33e-04,-0.3120437,NA,,
ILMN_1652846,4.34e-04,0.18092512,532524971,PCYT2,phosphate cytidylyltransferase 2, ethanolamine
ILMN_1664440,4.34e-04,0.20452312,213972632,TP53BP1,tumor protein p53 binding protein 1
ILMN_1721449,4.34e-04,-0.32551874,156071534,VSX2,visual system homeobox 2
ILMN_1781374,4.34e-04,-0.22514037,187607356,TUFT1,tuftelin 1
ILMN_1804863,4.35e-04,0.36363945,150010551,FKBP15,FK506 binding protein 15
ILMN_2115218,4.35e-04,0.23925517,557878664,ANKRD10,ankyrin repeat domain 10
ILMN_1763347,4.35e-04,-0.22860907,365777409,PIK3CB,phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta
ILMN_1785528,4.35e-04,-0.45638437,166091447,WASH3P,WAS protein family homolog 3 pseudogene
ILMN_1710668,4.36e-04,0.17078422,194595498,LETM1,leucine zipper and EF-hand containing transmembrane protein 1
ILMN_2326793,4.38e-04,-0.19297398,987437904,NUP98,nucleoporin 98
ILMN_1910550,4.40e-04,-0.32907317,82859048,,
ILMN_1700276,4.40e-04,0.25030393,545746314,JKAMP,JNK1/MAPK8-associated membrane protein
ILMN_1807633,4.44e-04,0.24683336,56676328,RIDA,reactive intermediate imine deaminase A homolog
ILMN_2115696,4.44e-04,-0.34638618,134948692,USP42,ubiquitin specific peptidase 42
