ID,adj.P.Val,logFC,GI,Gene.symbol,Gene.title
ILMN_1759952,1.46e-12,0.93619352,315138979,PSMA5,proteasome subunit alpha 5
ILMN_1764970,1.63e-12,-1.06875314,545478795,JMJD1C,jumonji domain containing 1C
ILMN_2161832,1.81e-12,0.69577871,223555918,VPS37A,VPS37A, ESCRT-I subunit
ILMN_1703006,1.97e-12,-0.71295794,410442519,MTCH1,mitochondrial carrier 1
ILMN_1722662,2.02e-12,-0.82553633,347800660,RAD23B,RAD23 homolog B, nucleotide excision repair protein
ILMN_1684385,2.05e-12,0.82734447,188536048,COPB2,coatomer protein complex subunit beta 2
ILMN_1773307,2.11e-12,-0.61475941,952977825,NAP1L5,nucleosome assembly protein 1 like 5
ILMN_1736002,2.16e-12,0.54513184,38027922,COPS5,COP9 signalosome subunit 5
ILMN_1694177,2.16e-12,0.7511789,33239450,PCNA,proliferating cell nuclear antigen
ILMN_1679268,2.16e-12,-1.16283169,193211454,PELI1,pellino E3 ubiquitin protein ligase 1
ILMN_3271092,2.33e-12,0.69180581,301500678,PPP1R21,protein phosphatase 1 regulatory subunit 21
ILMN_2269564,2.33e-12,0.93865243,118136292,ARID4B,AT-rich interaction domain 4B
ILMN_1708936,2.40e-12,0.90892543,389616144,EXOSC3,exosome component 3
ILMN_1774761,2.40e-12,1.8314854,183979979,CCR2,C-C motif chemokine receptor 2
ILMN_1690844,2.40e-12,-0.81089369,NA,,
ILMN_1753885,2.40e-12,-0.51550848,209413767,YTHDF1,YTH N6-methyladenosine RNA binding protein 1
ILMN_1670817,2.40e-12,-0.79259974,961460524,GRPEL1,GrpE like 1, mitochondrial
ILMN_1707748,2.40e-12,-1.18255725,NA,,
ILMN_1685781,2.84e-12,0.59811569,110227845,GON7,GON7, KEOPS complex subunit homolog
ILMN_2295879,3.16e-12,-0.6207002,111038132,NGDN,neuroguidin
ILMN_1734194,3.24e-12,0.79788082,389616144,EXOSC3,exosome component 3
ILMN_1739345,3.52e-12,0.69206187,131888644,LBHD1,LBH domain containing 1
ILMN_1728676,3.82e-12,0.49222336,120952850,KIAA0196,KIAA0196
ILMN_1701111,3.82e-12,-0.75950316,153218549,GPCPD1,glycerophosphocholine phosphodiesterase 1
ILMN_2073732,4.09e-12,-0.6318199,546231485,CBLL1,Cbl proto-oncogene like 1
ILMN_1667356,4.55e-12,0.68548974,301500679,PPP1R21,protein phosphatase 1 regulatory subunit 21
ILMN_1761721,4.56e-12,1.10203226,1018443321,VPS35,VPS35 retromer complex component
ILMN_2139351,4.56e-12,0.44603365,1004170644,ZNF232,zinc finger protein 232
ILMN_3200717,4.64e-12,0.60872512,223941907,LOC643387,TAR DNA binding protein pseudogene
ILMN_3242211,4.65e-12,0.58927008,133778990,TMEM187,transmembrane protein 187
ILMN_1671005,4.65e-12,-1.15462749,116734703,IRF2BP2,interferon regulatory factor 2 binding protein 2
ILMN_1768127,4.76e-12,0.61499704,237649014,EBNA1BP2,EBNA1 binding protein 2
ILMN_1737124,5.03e-12,-0.6759098,NA,,
ILMN_2379788,5.75e-12,-1.34774116,194473734,HIF1A,hypoxia inducible factor 1 alpha subunit
ILMN_1845037,5.83e-12,0.88721751,22658346,LOC100419583,ring finger protein 4 pseudogene
ILMN_1790354,5.98e-12,-0.81992681,440918671,RABGGTB,Rab geranylgeranyltransferase beta subunit
ILMN_1801091,6.35e-12,0.55075429,237757354,CERKL,ceramide kinase like
ILMN_1797298,6.35e-12,0.61177908,747019227,ARMC7,armadillo repeat containing 7
ILMN_1651278,6.35e-12,-0.96062769,380714674,SNIP1,Smad nuclear interacting protein 1
ILMN_2320888,6.35e-12,-1.84955157,56790926,CXCR4,C-X-C motif chemokine receptor 4
ILMN_1768534,6.49e-12,-1.02122966,197276631,BHLHE40,basic helix-loop-helix family member e40
ILMN_1684210,6.73e-12,0.80329536,210032474,NIPAL3,NIPA like domain containing 3
ILMN_2106902,6.73e-12,-0.61013361,146231981,FOXN3,forkhead box N3
ILMN_1664826,7.11e-12,-0.83140886,305682563,FBXO33,F-box protein 33
ILMN_1813344,7.51e-12,-1.0485207,260898773,NDUFAF5,NADH:ubiquinone oxidoreductase complex assembly factor 5
ILMN_2354391,7.65e-12,0.94152702,321400153,EGLN2,egl-9 family hypoxia inducible factor 2
ILMN_1796830,7.65e-12,-0.88841936,NA,,
ILMN_1814622,7.65e-12,0.40028309,116812605,GIN1,gypsy retrotransposon integrase 1
ILMN_1681252,7.65e-12,0.813889,NA,,
ILMN_1734855,7.65e-12,0.99147638,331284235,SELPLG,selectin P ligand
ILMN_2390310,7.85e-12,-1.19472168,NA,,
ILMN_1659703,7.94e-12,-0.85291713,394581984,WWP2,WW domain containing E3 ubiquitin protein ligase 2
ILMN_1803945,8.43e-12,1.57634045,341932552,HCP5,HLA complex P5 (non-protein coding)
ILMN_2070355,8.43e-12,0.60399323,291045258,SDHAF1,succinate dehydrogenase complex assembly factor 1
ILMN_1815707,8.43e-12,0.83069159,110227595,CALML4,calmodulin like 4
ILMN_1755643,8.55e-12,-1.05533793,83267862,MGAT4A,mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme A
ILMN_1728710,8.99e-12,0.52598917,320461552,ZNF816,zinc finger protein 816
ILMN_1810423,9.33e-12,0.67123778,554790307,RPP40,ribonuclease P/MRP subunit p40
ILMN_2334587,9.62e-12,-0.86283776,117190191,HNRNPC,heterogeneous nuclear ribonucleoprotein C (C1/C2)
ILMN_2236800,9.64e-12,-0.9657763,520261944,SON,SON DNA binding protein
ILMN_2342240,9.64e-12,0.77449158,62750355,MGAT2,mannosyl (alpha-1,6-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase
ILMN_2163796,1.01e-11,-0.64762188,440918671,RABGGTB,Rab geranylgeranyltransferase beta subunit
ILMN_3306270,1.02e-11,-0.94592913,NA,,
ILMN_1726693,1.04e-11,0.51297552,214831569,GTF2H1,general transcription factor IIH subunit 1
ILMN_1739210,1.05e-11,0.84822027,110349760,NSL1,NSL1, MIS12 kinetochore complex component
ILMN_1764186,1.07e-11,-0.62811718,401709969,ATXN1L,ataxin 1 like
ILMN_1685854,1.08e-11,0.63192239,55770873,IGIP,IgA inducing protein
ILMN_1706015,1.09e-11,0.83922433,45333897,FAM43A,family with sequence similarity 43 member A
ILMN_3280496,1.14e-11,-0.74288357,NA,,
ILMN_1718815,1.17e-11,0.56432869,984880668,SLTM,SAFB like transcription modulator
ILMN_1653652,1.32e-11,1.11285333,392494076,PTPRC,protein tyrosine phosphatase, receptor type C
ILMN_1665205,1.47e-11,0.43519632,260447063,ZNF260,zinc finger protein 260
ILMN_1691559,1.50e-11,-0.6620824,451172081,ELF2,E74 like ETS transcription factor 2
ILMN_1741171,1.50e-11,0.3906213,66932891,TM2D2,TM2 domain containing 2
ILMN_3273491,1.51e-11,1.0079661,NA,,
ILMN_1712754,1.53e-11,-0.54238284,NA,,
ILMN_1787628,1.54e-11,0.79875021,343183410,NOP56,NOP56 ribonucleoprotein
ILMN_3243381,1.54e-11,0.59178063,747165392,MLEC,malectin
ILMN_1663080,1.54e-11,1.02122871,93140998,LFNG,LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase
ILMN_1781102,1.55e-11,-0.73667186,98986332,VCPKMT,valosin containing protein lysine methyltransferase
ILMN_1664920,1.55e-11,0.6534526,365777414,C19orf12,chromosome 19 open reading frame 12
ILMN_1761131,1.68e-11,0.60062562,45643118,ECI2,enoyl-CoA delta isomerase 2
ILMN_1734867,1.69e-11,-0.49724003,189491737,NR2C1,nuclear receptor subfamily 2 group C member 1
ILMN_1736021,1.70e-11,-0.79082534,89276755,PRPF4B,pre-mRNA processing factor 4B
ILMN_1674243,1.72e-11,-0.88363261,927928762,TFRC,transferrin receptor
ILMN_1781097,1.73e-11,-0.61197988,116805346,UBXN4,UBX domain protein 4
ILMN_1770803,1.74e-11,-0.84227708,1002623434,BNIP2,BCL2 interacting protein 2
ILMN_1670218,1.89e-11,-0.81394828,32484988,EXOSC6,exosome component 6
ILMN_1777526,1.89e-11,0.72871361,768711645,MED20,mediator complex subunit 20
ILMN_1694367,1.96e-11,-0.73222231,28973789,SNORD35B,small nucleolar RNA, C/D box 35B
ILMN_1777745,1.96e-11,0.54155959,568384763,FAM133B,family with sequence similarity 133 member B
ILMN_1724700,1.96e-11,-0.67048054,145580632,RIOK3,RIO kinase 3
ILMN_1654552,1.96e-11,0.83545331,186928853,MRPS31,mitochondrial ribosomal protein S31
ILMN_3241426,1.96e-11,-0.64449981,NA,,
ILMN_3271204,2.00e-11,-0.82085569,NA,,
ILMN_1793712,2.01e-11,0.65668204,332078537,SCAMP3,secretory carrier membrane protein 3
ILMN_1748291,2.14e-11,-0.83899256,148664215,SDE2,SDE2 telomere maintenance homolog
ILMN_1669233,2.27e-11,-0.74597889,NA,,
ILMN_2387799,2.55e-11,-0.56946708,387849237,PDPK1,3-phosphoinositide dependent protein kinase 1
ILMN_2310896,2.58e-11,-1.12205101,208879434,NLRP3,NLR family pyrin domain containing 3
ILMN_3251728,2.97e-11,0.57177516,124028526,MTMR10,myotubularin related protein 10
ILMN_1682264,3.02e-11,0.99716598,440918718,DCAF7,DDB1 and CUL4 associated factor 7
ILMN_1655876,3.08e-11,0.43002295,685156918,TMEM159,transmembrane protein 159
ILMN_2214955,3.09e-11,0.46322772,34222184,CCDC127,coiled-coil domain containing 127
ILMN_1798288,3.24e-11,0.75197449,134142060,MOB3C,MOB kinase activator 3C
